BELTUSE_BIN	BAGDEPLOY_BIN	SEATPOS	DV_MPH	file_path	HIC15	T1_15	T2_15	HIC36	T1_36	T2_36	PEAK_LACC	PEAK_AACC	PEAK_LACC_g
1	0	13	9	data/minimal_simulations/9_mph/pass/belt/noairbag/madymo/madymo.peak	8.0982	86	101	13.866	79.8	115.8	127.59	567.57	13.00611620795107
0	1	13	9	data/minimal_simulations/9_mph/pass/nobelt/airbag/madymo/madymo.peak	1.1922	57.9	72	1.5994	107.9	143.9	90.149	1281.1	9.189500509683995
1	1	13	9	data/minimal_simulations/9_mph/pass/belt/airbag/madymo/madymo.peak	5.4193	88.6	103.6	8.3956	84.3	120.3	112.32	1085.1	11.449541284403669
0	0	11	10	data/minimal_simulations/10_mph/driver/nobelt/noairbag/madymo/madymo.peak	11.14	175	180	11.14	175	180	280.58	3737.1	28.60142711518858
1	0	11	10	data/minimal_simulations/10_mph/driver/belt/noairbag/madymo/madymo.peak	8.3094	84	99	14.168	79	115	130.55	471.97	13.307849133537207
0	1	11	10	data/minimal_simulations/10_mph/driver/nobelt/airbag/madymo/madymo.peak	4.9764	117	132	9.9473	104	140	103.48	486.03	10.54841997961264
1	1	11	10	data/minimal_simulations/10_mph/driver/belt/airbag/madymo/madymo.peak	9.9462	84	99	19.425	80	116	137.63	588.85	14.029561671763506
0	0	13	10	data/minimal_simulations/10_mph/pass/nobelt/noairbag/madymo/madymo.peak	2.0983	114.2	129.2	3.5976	105.3	141.3	75.981	423.85	7.745259938837919
1	0	13	10	data/minimal_simulations/10_mph/pass/belt/noairbag/madymo/madymo.peak	11.454	84.8	99.8	18.953	77.7	113.7	146.96	600.53	14.980632008154943
0	1	13	10	data/minimal_simulations/10_mph/pass/nobelt/airbag/madymo/madymo.peak	1.5559	56.2	71.2	2.763	106	142	99.388	1336.9	10.131294597349644
1	1	13	10	data/minimal_simulations/10_mph/pass/belt/airbag/madymo/madymo.peak	7.3461	87.7	102.7	10.514	82.9	118.9	127.66	1104	13.013251783893985
0	0	11	11	data/minimal_simulations/11_mph/driver/nobelt/noairbag/madymo/madymo.peak	71.253	140	146	71.253	140	146	616.37	8080.1	62.83078491335372
